grid_id,n_landslides,total_area_m2,mean_compactness,density_km2,HLD_norm,MAG_norm,CHAN_norm,LS_LRSI,risk_class
4_9,2.0,189.21528722010686,0.9069809619996922,2.0,0.04255319148845632,0.46436462411515983,1.2878728083975943e-09,16.058598323635067,Medium
4_10,6.0,5374.049863989485,0.6582310661846594,6.0,0.12765957446536896,0.7600136663927338,0.3203582381372878,35.59055347779621,High
4_11,2.0,8936.263230155626,0.49391954757366646,2.0,0.04255319148845632,0.8050030950661564,0.5319705816271073,36.91716405894965,High
4_12,4.0,17149.513059451398,0.3842669744983561,4.0,0.08510638297691264,0.8626752023409006,0.6731891532422242,43.599358283917134,Very High
4_13,1.0,1953.6725824487626,0.6366711546596363,1.0,0.02127659574422816,0.6705106607581147,0.34812466280313636,28.14164286601758,Medium
4_14,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
4_15,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
4_16,2.0,9204.777925309056,0.36029028605615787,2.0,0.04255319148845632,0.8076223153689326,0.7040680792802152,40.43769062109509,High
4_17,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_0,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_1,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_2,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_3,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_4,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_5,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_6,1.0,2233.223965861321,0.47932839802744065,1.0,0.02127659574422816,0.6823380896638968,0.5507621269538674,32.54921501620566,High
5_7,7.0,8529.651843124646,0.6240147391085574,7.0,0.14893617020959712,0.8008830756022012,0.3644245167487722,38.76179111352134,High
5_8,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_9,4.0,2273.0682184275156,0.6780872355841913,4.0,0.08510638297691264,0.683902127594172,0.29478601669544513,30.668103310579696,Medium
5_10,3.0,1950.6578781888334,0.7652423200157042,3.0,0.06382978723268448,0.6703740898602604,0.18254134986067794,26.95353905465559,Medium
5_11,2.0,8063.754988418415,0.578192476839826,2.0,0.04255319148845632,0.7959137397102185,0.42343776417452306,34.47382704921983,High
5_12,10.0,18965.771733465048,0.524217684455041,10.0,0.21276595744228158,0.8715817919920574,0.49295043378207337,46.64476030751727,Very High
5_13,1.0,4334.827423945349,0.3426537099408111,1.0,0.02127659574422816,0.7410029449581222,0.7267817467969818,37.829553071894715,High
5_14,10.0,36079.00780708489,0.4365090238247312,10.0,0.21276595744228158,0.9284798320418207,0.6059080363727622,50.61085356082394,Very High
5_15,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_16,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
5_17,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_0,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_1,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_2,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_3,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_4,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_5,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_6,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_7,1.0,2461.4810087863725,0.5478553778942687,1.0,0.02127659574422816,0.6909451633427295,0.4625080902041335,31.042346491575966,Medium
6_8,1.0,5387.4671169784415,0.37538692439926924,1.0,0.02127659574422816,0.7602342595198279,0.6846255286568024,37.56336814594229,High
6_9,1.0,3210.4280424422454,0.5549365629209598,1.0,0.02127659574422816,0.714441093947755,0.45338842427413417,31.564831091126745,Medium
6_10,16.0,37482.54309985271,0.5873121547529812,16.0,0.34042553190765057,0.931856557112694,0.4116927786044974,53.21082888085329,Very High
6_11,13.0,30139.907583922868,0.5989195681490478,13.0,0.27659574467496606,0.9125659428894827,0.3967439060521598,49.14164364147598,Very High
6_12,7.0,31422.23421145287,0.34787537752735725,7.0,0.14893617020959712,0.9162524577842731,0.7200569028891736,49.335520301791526,Very High
6_13,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_14,5.0,11110.692812370631,0.6044994252618229,5.0,0.10638297872114079,0.8242715768424986,0.3895577595789589,37.83845143291118,High
6_15,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
6_16,2.0,7876.2709514259905,0.30220018750213423,2.0,0.04255319148845632,0.7938324949766703,0.7788807399657645,41.520249223038206,High
6_17,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
7_0,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
7_1,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
7_2,2.0,5765.537612515635,0.7029642110455327,2.0,0.04255319148845632,0.7662342663621867,0.26274763544977986,30.369640274284016,Medium
7_3,1.0,14377.794289724334,0.13050679376533544,1.0,0.02127659574422816,0.8470782555830162,1.0,46.4761774547019,Very High
7_4,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
7_5,1.0,1158.8276228796096,0.5919638074897652,1.0,0.02127659574422816,0.6243276396227562,0.40570204134485255,27.907699802791143,Medium
7_6,0.0,0.0,0.5849569002614328,0.0,0.0,0.0,0.4147260469151107,8.294520938302215,Low
7_7,1.0,4362.626275074909,0.7291222954575135,1.0,0.02127659574422816,0.7415684268325011,0.22905934877081158,27.89206956760267,Medium
